nationalGridBmUnit,elexonBmUnit,eic,fuelType,leadPartyName,bmUnitType,fpnFlag,bmUnitName,leadPartyId,demandCapacity,generationCapacity,productionOrConsumptionFlag,transmissionLossFactor,workingDayCreditAssessmentImportCapability,nonWorkingDayCreditAssessmentImportCapability,workingDayCreditAssessmentExportCapability,nonWorkingDayCreditAssessmentExportCapability,creditQualifyingStatus,demandInProductionFlag,gspGroupId,gspGroupName,interconnectorId,
AG-GBL0EN,V__NGBLO014,,,GridBeyond Limited,V,TRUE,V__NGBLO014,ENDECO,0,0,C,-0.0122086,0,0,0,0,FALSE,FALSE,_N,SOUTH of SCOTLAND GSP,,
AG-GBL0FM,V__MGBLO015,,,GridBeyond Limited,V,TRUE,V__MGBLO015,ENDECO,0,0,C,-0.0043908,0,0,0,0,FALSE,FALSE,_M,Yorkshire,,
AG-GBL0GM,V__MGBLO016,,,GridBeyond Limited,V,TRUE,V__MGBLO016,ENDECO,0,0,C,-0.0043908,0,0,0,0,FALSE,FALSE,_M,Yorkshire,,
AG-GBL0HM,V__MGBLO017,,,GridBeyond Limited,V,TRUE,V__MGBLO017,ENDECO,0,0,C,-0.0043908,0,0,0,0,FALSE,FALSE,_M,Yorkshire,,
AG-GBL0IA,V__AGBLO018,,,GridBeyond Limited,V,TRUE,V__AGBLO018,ENDECO,0,0,C,0.0049362,0,0,0,0,FALSE,FALSE,_A,Eastern GSP Group,,
AG-GBL0JP,V__PGBLO019,,,GridBeyond Limited,V,TRUE,V__PGBLO019,ENDECO,0,0,C,-0.0256767,0,0,0,0,FALSE,FALSE,_P,NORTH of SCOTLAND GSP,,
AG-GBL0KB,V__BGBLO020,,,GridBeyond Limited,V,TRUE,V__BGBLO020,ENDECO,0,0,C,0.0064338,0,0,0,0,FALSE,FALSE,_B,East Midlands,,
AG-GBL0LB,V__BGBLO021,,,GridBeyond Limited,V,TRUE,V__BGBLO021,ENDECO,0,0,C,0.0064338,0,0,0,0,FALSE,FALSE,_B,East Midlands,,
AG-GBL0MM,V__MGBLO022,,,GridBeyond Limited,V,TRUE,V__MGBLO022,ENDECO,0,0,C,-0.0043908,0,0,0,0,FALSE,FALSE,_M,Yorkshire,,
AG-GBL0NN,V__NGBLO023,,,GridBeyond Limited,V,TRUE,V__NGBLO023,ENDECO,0,0,C,-0.0122086,0,0,0,0,FALSE,FALSE,_N,SOUTH of SCOTLAND GSP,,
AG-GBL0OH,V__HGBLO024,,,GridBeyond Limited,V,TRUE,V__HGBLO024,ENDECO,0,0,C,0.0160206,0,0,0,0,FALSE,FALSE,_H,Southern,,
AG-GBL0PE,V__EGBLO025,,,GridBeyond Limited,V,TRUE,V__EGBLO025,ENDECO,0,0,C,0.0150195,0,0,0,0,FALSE,FALSE,_E,Midlands,,
AG-GEDF01,2__GLOND001,,,EDF Energy Customers Limited,S,TRUE,EDFE Aggregate N West 01,LENCO,0,0,C,-0.0021896,0,0,0,0,FALSE,FALSE,_G,North Western,,
AG-GEDF02,2__GLOND002,,,EDF Energy Customers Limited,S,TRUE,EDFE Agg NW Eng 02,LENCO,0,0,C,-0.0021896,0,0,0,0,FALSE,FALSE,_G,North Western,,
AG-GEDF03,2__GLOND003,,,EDF Energy Customers Limited,S,TRUE,EDFE Aggregate NW Eng 3,LENCO,-2,40,C,-0.0021896,-0.182,-0.117,3.64,2.344,FALSE,FALSE,_G,North Western,,
AG-GEDF04,2__GLOND004,,,EDF Energy Customers Limited,S,TRUE,EDFE Aggregate NW Eng 4,LENCO,-2,20,C,-0.0021896,-0.756,-0.644,7.56,6.438,FALSE,FALSE,_G,North Western,,
AG-GFLX01,2__GFLEX001,,,Flexitricity Limited,S,TRUE,2__GFLEX001,FLEXTRCY,0,49,C,-0.0021896,0,0,4.082,4.082,FALSE,FALSE,_G,North Western,,
AG-GFLX02,2__GFLEX002,,,Flexitricity Limited,S,TRUE,2__GFLEX002,FLEXTRCY,0,49,C,-0.0021896,0,0,0.921,0.921,FALSE,FALSE,_G,North Western,,
