nationalGridBmUnit,elexonBmUnit,eic,fuelType,leadPartyName,bmUnitType,fpnFlag,bmUnitName,leadPartyId,demandCapacity,generationCapacity,productionOrConsumptionFlag,transmissionLossFactor,workingDayCreditAssessmentImportCapability,nonWorkingDayCreditAssessmentImportCapability,workingDayCreditAssessmentExportCapability,nonWorkingDayCreditAssessmentExportCapability,creditQualifyingStatus,demandInProductionFlag,gspGroupId,gspGroupName,interconnectorId
AG-ESTK04,2__ESTAT004,,,Statkraft Markets Gmbh,S,TRUE,STAT_E5,STATKRA1,0,12.389,C,0.0217983,0,0,2.602,2.602,FALSE,FALSE,_E,Midlands,
NWP-OVO01,2__GOVOE000,,,OVO Electricity Ltd,G,FALSE,2__GOVOE000,OVOE,-117.92,12.26,C,0.0039537,-55.21,-58.3,5.74,6.061,FALSE,FALSE,_G,North Western,
MNW-BGS01,2__DBGAS000,,,British Gas Trading Ltd,G,TRUE,2__DBGAS000,BRITGAS,-109.862,12.197,C,0.01133,-49.735,-52.437,5.522,5.822,FALSE,FALSE,_D,Merseyside and North Wales,
AG-ASTK09,2__ASTAT009,,,Statkraft Markets Gmbh,S,TRUE,STAT_A10,STATKRA1,-12,12,C,0.0083715,-4.638,-4.036,4.638,4.036,FALSE,FALSE,_A,Eastern GSP Group,
AG-JEDF03,2__JLOND003,,,EDF Energy Customers Limited,S,TRUE,EDFE Aggregate S E Eng 03,LENCO,0,12,C,0.0136162,0,0,2.52,2.52,FALSE,FALSE,_J,South Eastern,
NEE-HPW01,2__FHPOW000,,,Drax Energy Solutions Limited,G,TRUE,2__FHPOW000,HAVEN,-156.42,12,C,-0.0004839,-124.198,-104.332,9.528,8.004,FALSE,FALSE,_F,_F - Northern,
BROAB-1,E_BROAB-1,,,Tesla Motors Limited,E,TRUE,Broadditch Battery,TESLA,-11,11,P,0.0136162,-4.4,-4.4,4.4,4.4,TRUE,FALSE,_J,South Eastern,
AG-GLIM03,2__GANGE003,,,Limejump Energy Limited,S,TRUE,2__GANGE003,ANGEL,0,10.321,C,-0.0086334,0,0,2.271,2.271,FALSE,FALSE,_G,North Western,
SEVIU-1,E_SEVINGTN,,,UK Power Reserve Limited,E,TRUE,Sevington District Energy,UKPR,0,10.3,C,0.0136162,0,0,4.12,4.12,TRUE,FALSE,_J,South Eastern,
AG-KUKP01,2__KUKPR001,,,UK Power Reserve Limited,S,TRUE,UKPR S Wales,UKPR,0,10.2,C,0.0211515,0,0,2.142,2.142,FALSE,FALSE,_K,South Wales,
AG-LUKP01,2__LUKPR001,,,UK Power Reserve Limited,S,TRUE,UKPR S West,UKPR,0,10.2,C,0.024847,0,0,2.142,2.142,FALSE,FALSE,_L,South Western,
BBPG01,2__BBPGM001,,,BP Gas Marketing Limited,S,TRUE,2__BBPGM001,BPGAS,-8.48,10.19,C,0.003279,-0.068,-0.109,0.082,0.131,FALSE,FALSE,_B,East Midlands,
BRIDU-1,E_BRIDGWTR,,,UK Power Reserve Limited,E,TRUE,Bridgwater Power Station,UKPR,0,10.18,C,0.024847,0,0,4.072,4.072,TRUE,FALSE,_L,South Western,
AG-BUKP01,2__BUKPR001,,,UK Power Reserve Limited,S,TRUE,UKPR East Mids,UKPR,-10,10,C,0.0149883,-0.88,-0.909,0.88,0.909,FALSE,FALSE,_B,East Midlands,
AG-REC05L,2__LECOT003,,,ECOTRICITY LIMITED,S,TRUE,ECOT_VPP_22,RENC,-10,10,C,0.024847,-3.795,-3.317,3.795,3.317,FALSE,FALSE,_L,South Western,
HINBD-1,T_HINB-D,,,EDF Energy Customers Limited,T,TRUE,Hinkley Point B Station Demand,LENCO,-10,10,C,0.024847,-8.974,-8.974,8.974,8.974,FALSE,FALSE,,,
