"269641.314554999, 353035.803879"
"277754, 368358"
"264900, 346000"
"186600, 760500"
"235422, 729327"
"257976.512332, 360502.843425"
"276927.549002, 367625.063137"
"216600, 799800"
"276927.549002, 367625.063137"
"250100, 813300"
"196657.00008, 706908.99997"
"369887.329501, 587826.789626999"
"178095.51863, 856066.184856"
"251359.397361999, 818186.721952999"
"204559.000066, 706949.999977"
"174589.839684, 759870.614196"
"218208.417897, 885467.824405999"
"390300, 521200"
"259900, 866800"
"225150, 934050"
"217196, 788748"
"196459, 867347"
"0, 0"
"451077, 182210"
"448472, 93554"
"519049, 256838"
"303823, 392138"
"656417, 311874"
"290990, 388002"
"288785, 540522"
"291005, 542348"
"642078, 197218"
"292082, 396482"
"528439, 411181"
"646316, 262379"
"525000, 95000"
"0, 0"
"436900, 548200"
"442500, 540500"
"177000, 643000"
"538800, 421200"
"329600, 647500"
"333000, 646200"
"445200, 533400"
"442500, 540500"
"420800, 550300"
"419500, 552500"
"445600, 533500"
"200483, 707563"
"334300, 1026200"
"389495, 432441"
"544000, 299000"
"423069, 455946"
"327150, 951850"
"549995, 362998"
"598310, 122060"
"436900, 548200"
"438085, 541365"
"456880, 358150"
"311440, 713477"
"438085, 541365"
"439000, 530000"
"405590, 554583"
"439000, 530000"
"313585, 551775"
"469324, 416182"
"255500, 871500"
"249550, 903550"
"325800, 947400"
"379914, 430561"
"595000, 205000"
"473487, 419400"
"414765, 622786"
"473632, 420610"
"251493, 233864"
"316615, 948900"
"265400, 208320"
"301568, 359344"
"610671, 364425"
"610671, 364425"
"575000, 361000"
"433500, 846500"
"575000, 361000"
"575000, 361000"
"575000, 361000"
"0, 0"
"0, 0"
"0, 0"
"302860, 288543"
"126222, 580523"
"134974, 546006"
"90731, 589745"
"265320, 609703"
"344600, 657500"
"173950, 636900"
"203500, 687500"
"290998, 653991"
"525748, 299048"
"261700, 881900"
"10820, 521167"
"270000, 594000"
"256800, 645435"
"278965, 630750"
"137865, 553129"
"296850, 707550"
"217950, 714520"
"346582, 657530"
"221500, 578500"
"225000, 585000"
"429400, 589799"
"254220, 640867"
"173950, 636900"
"184500, 54500"
"253158, 656019"
"300000, 595000"
"390207, 428154"
"289500, 653500"
"315000, 580000"
"242500, 603500"
"265931, 613982"
"223000, 578000"
"315000, 580000"
"208000, 573000"
"0, 0"
"0, 0"
"456536, 520395"
"458191, 520347"
"458275, 517359"
"495316, 181476"
"412790, 843093"
"483280, 411671"
"586916, 174008"
"466926, 166323"
"364051, 80933"
"0, 0"
"265618.905673999, 758237.418503999"
"261249.153236, 580838.545996999"
"219715, 595201"
"293515, 757730"
"168582.025887, 792663.629375"
