companyName,siteName,technology,type,chp,primaryFuel,secondaryFuel,installedCapacity,gridConnectionType,country,region,postcode,osReference,Easting,Northing,yearCommissioned,lat,lon,relevantBMU1,relevantBMU2,relevantBMU3,relevantBMU4,relevantBMU5,relevantBMU6
RWE Npower,Great Yarmouth,Fossil Fuel,CCGT,No,Natural Gas,,420,LV,England,East of England,NR303PY,,652534.0,307744.0,2001,52.60874276,1.72850748,,,,,,
Vattenfall,Thanet ,Wind,Offshore,No,Wind,,300,HV,England,South East,,,652658.0,176367.0,2010,51.42994052,1.63343848,,,,,,
SSE Group,Greater Gabbard,Wind,Offshore,No,Wind,,504,HV,England,East of England,,TM714315,670237.0,231640.0,2011,51.91765992,1.92845459,GRGBW-1,GRGBW-2,GRGBW-3,,,
SSE Group,Loch Carnan,Fossil Fuel,Single cycle,No,Diesel/Gas Oil,,11,HV,Scotland,Scotland,,,83233.0,842636.0,1972,57.36357422,-7.27050337,,,,,,
SSE Group and Equinor,Dogger Bank A,Wind,Offshore,No,Wind,,12000,,England,North East,,,,,2024,54.8333333,2.33333333,,,,,,
Anesco,Langley Priory,Solar,PV,No,Solar,,2036,HV,England,East Midlands,DE74 2QQ,,,,2016,,,,,,,,
Orsted,Hornsea 02,Wind,Offshore,No,Wind,,1386,,England,East Midlands,,,,,2022,,,,,,,,
SSE Group,Seagreen,Wind,Offshore,No,Wind,,1075,,Scotland,Scotland,,NO399369,,,2022,56.6355,-1.9266,T_SGRWO-1,T_SGRWO-2,T_SGRWO-3,T_SGRWO-4,T_SGRWO-5,T_SGRWO-6
Moray Offshore Windfarm (West) Ltd,Moray Offshore Windfarm Wast Limited,Wind,Offshore,No,Wind,,950,,Scotland,Scotland,,,,,2021,58.097,-3.007,,,,,,
Moray Offshore Windfarm (East) Ltd,Moray Offshore Windfarm East Limited,Wind,Offshore,No,Wind,,950,,Scotland,Scotland,AB43 9BR,,,,2021,58.188,-2.721,,,,,,
RWE Npower,Triton Knoll,Wind,Offshore,No,Wind,,857,HV,England,Yorkshire and the Humber,,TA 25405 11338,,,2021,,,,,,,,
SSE Group,Keadby 2,Fossil Fuel,CCGT,,Natural Gas,,840,,England,East Midlands,,,,,2023,,,T_KEAD-2,,,,,
